reference,doi_link,catalyst_name,catalyst_composition_available,starting_material_active_1,active_comp_1,active_1_percent,starting_material_2,active_comp_2,active_2_percent,support_comp_1,support_1_percent,support_comp_2,support_2_percent,catalyst_surface_area_m2_g,mean_pore_diameter_nm,temperature_k,pressure_bar,pH2_pCO2_ratio,GHSV_nlph_gcat,catalyst_load_g,CO2_conversion,selectivity_CH3OH,yield_CH3OH,STY_g_per_gcath
Chen et al. (2019c),https://doi.org/10.1021/acscatal.9b01869,In2.5/ZrO2,Yes,In2O3,In2O3,1.26,NA,NA,NA,ZrO2,98.74,NA,NA,26.4,27.60,553,50,4,18.00,0.15,2.5,60,1.50,0.0719
Chen et al. (2019c),https://doi.org/10.1021/acscatal.9b01869,In5/ZrO2,Yes,In2O3,In2O3,3.2,NA,NA,NA,ZrO2,96.8,NA,NA,25.4,31.30,523,50,4,18.00,0.15,0.6,77.9,0.47,0.0224
Chen et al. (2019c),https://doi.org/10.1021/acscatal.9b01869,In5/ZrO2,Yes,In2O3,In2O3,3.2,NA,NA,NA,ZrO2,96.8,NA,NA,25.4,31.30,553,50,4,18.00,0.15,1.8,68.2,1.23,0.0589
Chen et al. (2019c),https://doi.org/10.1021/acscatal.9b01869,In10/ZrO2,No,In2O3,In2O3,10.7,NA,NA,NA,ZrO2,89.3,NA,NA,25.2,26.70,523,50,4,18.00,0.15,0.5,75.9,0.38,0.0182
Chen et al. (2019c),https://doi.org/10.1021/acscatal.9b01869,In10/ZrO2,No,In2O3,In2O3,10.7,NA,NA,NA,ZrO2,89.3,NA,NA,25.2,26.70,553,50,4,18.00,0.15,1.4,66,0.92,0.0443
Chen et al. (2019c),https://doi.org/10.1021/acscatal.9b01869,Bulk In2O3,Yes,In2O3,In2O3,100,NA,NA,NA,NA,NA,NA,NA,23.7,24.00,523,50,4,18.00,0.15,0.7,69.3,0.49,0.0233
Chen et al. (2019c),https://doi.org/10.1021/acscatal.9b01869,Bulk ZrO2,Yes,NA,NA,NA,NA,NA,NA,ZrO2,100,NA,NA,37.3,22.00,523,50,4,18.00,0.15,0,0,0.00,0.0000
Chen et al. (2019c),https://doi.org/10.1021/acscatal.9b01869,In0.1/ZrO2,No,In2O3,In2O3,0.1,NA,NA,NA,ZrO2,99.9,NA,NA,27.4,32.00,553,50,4,18.00,0.15,2.2,60.7,1.34,0.0640
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,In2O3/ZrO2 ,Yes,In2O3,In2O3,5.8,NA,NA,NA,ZrO2,94.2,NA,NA,87,10.10,573,40,4,40.00,0.15,10.5,53,5.57,0.5930
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,In2O3/ZrO2 ,Yes,In2O3,In2O3,5.8,NA,NA,NA,ZrO2,94.2,NA,NA,87,10.10,558,40,4,40.00,0.15,6.1,65,3.97,0.4225
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,In2O3/ZrO2 ,Yes,In2O3,In2O3,5.8,NA,NA,NA,ZrO2,94.2,NA,NA,87,10.10,543,40,4,40.00,0.15,3.2,76,2.43,0.2592
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,In2O3/ZrO2 ,Yes,In2O3,In2O3,5.8,NA,NA,NA,ZrO2,94.2,NA,NA,87,10.10,528,40,4,40.00,0.15,1.25,81,1.01,0.1079
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,1.5YIn2O3/ZrO2 ,Yes,In2O3,In2O3,5.3,Y2O3,Y2O3,1.1,ZrO2,93.6,NA,NA,84,11.00,528,40,4,40.00,0.15,1.2,100,1.20,0.1279
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,1.5YIn2O3/ZrO2 ,Yes,In2O3,In2O3,5.3,Y2O3,Y2O3,1.1,ZrO2,93.6,NA,NA,84,11.00,543,40,4,40.00,0.15,2.7,84,2.27,0.2417
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,1.5YIn2O3/ZrO2 ,Yes,In2O3,In2O3,5.3,Y2O3,Y2O3,1.1,ZrO2,93.6,NA,NA,84,11.00,558,40,4,40.00,0.15,5.1,77,3.93,0.4185
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,1.5YIn2O3/ZrO2 ,Yes,In2O3,In2O3,5.3,Y2O3,Y2O3,1.1,ZrO2,93.6,NA,NA,84,11.00,573,40,4,40.00,0.15,7.6,69,5.24,0.5588
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,3La10In/ZrO2 ,Yes,In2O3,In2O3,5.9,La2O3,La2O3,1.7,ZrO2,92.4,NA,NA,84,10.00,543,40,4,40.00,0.15,2.9,91,2.64,0.2812
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,3La10In/ZrO2 ,Yes,In2O3,In2O3,5.9,La2O3,La2O3,1.7,ZrO2,92.4,NA,NA,84,10.00,528,40,4,40.00,0.15,1.1,100,1.10,0.1172
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,3La10In/ZrO2 ,Yes,In2O3,In2O3,5.9,La2O3,La2O3,1.7,ZrO2,92.4,NA,NA,84,10.00,558,40,4,40.00,0.15,5.7,80,4.56,0.4859
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,3La10In/ZrO2 ,Yes,In2O3,In2O3,5.9,La2O3,La2O3,1.7,ZrO2,92.4,NA,NA,84,10.00,573,40,4,40.00,0.15,7.7,66,5.08,0.5415
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,2Y8In/ZrO2,Yes,In2O3,In2O3,4.8,Y2O3,Y2O3,1.7,ZrO2,93.5,NA,NA,84,10.50,528,40,4,40.00,0.15,1.3,100,1.30,0.1385
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,2Y8In/ZrO2,Yes,In2O3,In2O3,4.8,Y2O3,Y2O3,1.7,ZrO2,93.5,NA,NA,84,10.50,558,40,4,40.00,0.15,3.4,80,2.72,0.2898
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,2Y8In/ZrO2,Yes,In2O3,In2O3,4.8,Y2O3,Y2O3,1.7,ZrO2,93.5,NA,NA,84,10.50,573,40,4,40.00,0.15,6.1,72,4.39,0.4680
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,2Y8In/ZrO2,Yes,In2O3,In2O3,4.8,Y2O3,Y2O3,1.7,ZrO2,93.5,NA,NA,84,10.50,543,40,4,40.00,0.15,1.9,97,1.84,0.1964
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,3Y8In/ZrO2,Yes,In2O3,In2O3,4.9,Y2O3,Y2O3,2.2,ZrO2,92.9,NA,NA,88,10.50,528,40,4,40.00,0.15,1,100,1.00,0.1066
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,3Y8In/ZrO2,Yes,In2O3,In2O3,4.9,Y2O3,Y2O3,2.2,ZrO2,92.9,NA,NA,88,10.50,543,40,4,40.00,0.15,1.7,96,1.63,0.1739
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,3Y8In/ZrO2,Yes,In2O3,In2O3,4.9,Y2O3,Y2O3,2.2,ZrO2,92.9,NA,NA,88,10.50,558,40,4,40.00,0.15,2.8,81,2.27,0.2417
Chou and Lobo (2019),https://doi.org/10.1016/j.apcata.2019.117144,3Y8In/ZrO2,Yes,In2O3,In2O3,4.9,Y2O3,Y2O3,2.2,ZrO2,92.9,NA,NA,88,10.50,573,40,4,40.00,0.15,4.5,74,3.33,0.3548
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 3",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,98,13.00,473,20,2.8,NA,NA,3,30,0.90,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 3",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,98,13.00,523,20,2.8,NA,NA,9.6,12.4,1.19,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 3",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,98,13.00,573,20,2.8,NA,NA,14.6,3.2,0.47,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 3",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,98,13.00,623,20,2.8,NA,NA,19.6,1.6,0.31,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 3",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,98,13.00,673,20,2.8,NA,NA,24.5,0.6,0.15,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 5",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,65,12.90,473,20,2.8,NA,NA,1.5,33,0.50,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 5",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,65,12.90,523,20,2.8,NA,NA,11.5,10,1.15,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 5",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,65,12.90,573,20,2.8,NA,NA,20,2.9,0.58,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 5",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,65,12.90,623,20,2.8,NA,NA,26.9,1.3,0.35,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 5",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,65,12.90,673,20,2.8,NA,NA,33,0.5,0.17,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 9",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,61,13.10,473,20,2.8,NA,NA,4.8,3.5,0.17,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 9",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,61,13.10,523,20,2.8,NA,NA,12,1.5,0.18,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 9",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,61,13.10,573,20,2.8,NA,NA,19.8,1.8,0.36,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 9",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,61,13.10,623,20,2.8,NA,NA,26.9,1.3,0.35,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 9",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,61,13.10,673,20,2.8,NA,NA,33.5,0.7,0.23,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 7",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,59,12.90,473,20,2.8,NA,NA,2.9,32,0.93,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 7",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,59,12.90,523,20,2.8,NA,NA,12.7,7,0.89,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 7",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,59,12.90,573,20,2.8,NA,NA,20,3,0.60,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 7",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,59,12.90,623,20,2.8,NA,NA,26.8,1.3,0.35,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH = 7",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,59,12.90,673,20,2.8,NA,NA,33.2,0.6,0.20,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH=8",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,55,13.10,473,20,2.8,NA,NA,3.6,31,1.12,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH=8",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,55,13.10,523,20,2.8,NA,NA,12.5,5.7,0.71,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH=8",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,55,13.10,573,20,2.8,NA,NA,19.5,2.2,0.43,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH=8",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,55,13.10,623,20,2.8,NA,NA,26.4,1.2,0.32,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH=8",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,55,13.10,673,20,2.8,NA,NA,32.6,0.5,0.16,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH=11",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,64,13.10,473,20,2.8,NA,NA,0.3,0,0.00,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH=11",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,64,13.10,523,20,2.8,NA,NA,4,0,0.00,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH=11",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,64,13.10,573,20,2.8,NA,NA,17.7,3.6,0.64,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH=11",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,64,13.10,623,20,2.8,NA,NA,27.4,1.2,0.33,NA
Dasireddy et al. (2018),https://doi.org/10.1016/j.jcou.2018.09.002,"Cu/Mg/Al, preparation pH=11",Yes,CuO,Cu,56,NA,NA,NA,MgO,33,Al2O3,11,64,13.10,673,20,2.8,NA,NA,33.7,0.5,0.17,NA
Fujitani et al. (1995),https://doi.org/10.1016/0926-860X(95)00049-6,Pd/ZrO2,Yes,NA,Pd,11.4,NA,NA,NA,ZrO2,88.6,NA,NA,NA,NA,523,50,3,18.00,1,0.4,4.3,0.02,0.0010
Fujitani et al. (1995),https://doi.org/10.1016/0926-860X(95)00049-6,Pd/SiO2,Yes,NA,Pd,5.9,NA,NA,NA,SiO2,94.1,NA,NA,NA,NA,523,50,3,18.00,1,0.05,100,0.05,0.0030
Fujitani et al. (1995),https://doi.org/10.1016/0926-860X(95)00049-6,Pd/Cr2O3,Yes,NA,Pd,13.7,NA,NA,NA,Cr2O3,86.3,NA,NA,NA,NA,523,50,3,18.00,1,2.1,22.4,0.5,0.0282
Fujitani et al. (1995),https://doi.org/10.1016/0926-860X(95)00049-6,Pd/TiO2,Yes,NA,Pd,7.7,NA,NA,NA,TiO2,92.3,NA,NA,NA,NA,523,50,3,18.00,1,15.5,3.9,0.6,0.0362
Fujitani et al. (1995),https://doi.org/10.1016/0926-860X(95)00049-6,Pd/Al2O3,Yes,NA,Pd,9.6,NA,NA,NA,Al2O3,90.4,NA,NA,NA,NA,523,50,3,18.00,1,3.4,29.9,1.0,0.0609
Fujitani et al. (1995),https://doi.org/10.1016/0926-860X(95)00049-6,Cu/ZnO,Yes,CuO,Cu,12.5,NA,NA,NA,ZnO,87.5,NA,NA,NA,NA,523,50,3,18.00,1,11.7,36.1,4.2,0.2532
Fujitani et al. (1995),https://doi.org/10.1016/0926-860X(95)00049-6,Pd/ZnO,Yes,NA,Pd,7.8,NA,NA,NA,ZnO,92.2,NA,NA,NA,NA,523,50,3,18.00,1,13.8,37.5,5.2,0.3102
Fujitani et al. (1995),https://doi.org/10.1016/0926-860X(95)00049-6,Pd/Ga2O3,Yes,NA,Pd,16.4,NA,NA,NA,Ga2O3,83.6,NA,NA,NA,NA,523,50,3,18.00,1,19.6,51.5,10.1,0.6050
Gao et al. (2013c),https://doi.org/10.1016/j.apcata.2013.09.026,CHT-AY,Yes,CuO,Cu,59,ZnO,ZnO,27,Al2O3,13,Y2O3,1,107,24.80,523,50,3,12.00,0.5,26.9,47.1,12.67,0.5063
Gao et al. (2013c),https://doi.org/10.1016/j.apcata.2013.09.026,CHT-AZr,Yes,CuO,Cu,57,ZnO,ZnO,28,Al2O3,12,ZrO2,3,71,23.70,523,50,3,12.00,0.5,24.7,48,11.86,0.4738
Gao et al. (2013c),https://doi.org/10.1016/j.apcata.2013.09.026,CHT-ACe,Yes,CuO,Cu,58,ZnO,ZnO,27,Al2O3,13,CeO2,3,59,28.50,523,50,3,12.00,0.5,23.6,45.9,10.83,0.4329
Gao et al. (2013c),https://doi.org/10.1016/j.apcata.2013.09.026,CHT-ALa,Yes,CuO,Cu,58,ZnO,ZnO,28,Al2O3,13,La2O3,1,57,21.10,523,50,3,12.00,0.5,23.3,43.8,10.21,0.4078
Gao et al. (2013c),https://doi.org/10.1016/j.apcata.2013.09.026,CHT-AMn,Yes,CuO,Cu,58,ZnO,ZnO,27,Al2O3,13,MnO,3,48,24.20,523,50,3,12.00,0.5,22.3,43,9.59,0.3832
Gao et al. (2013c),https://doi.org/10.1016/j.apcata.2013.09.026,CHT-A,Yes,CuO,Cu,58,ZnO,ZnO,28,Al2O3,14,NA,NA,46,26.10,523,50,3,12.00,0.5,19.7,39.7,7.82,0.3125
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,CZ,Yes,CuO,Cu,50,NA,NA,NA,ZrO2,50,NA,NA,36,NA,493,30,3,3.17,0.5,5.3,58,3.1,0.0324
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,CZ,Yes,CuO,Cu,50,NA,NA,NA,ZrO2,50,NA,NA,36,NA,473,30,3,3.17,0.5,NA,NA,2.0,0.0211
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,CZ,Yes,CuO,Cu,50,NA,NA,NA,ZrO2,50,NA,NA,36,NA,513,30,3,3.17,0.5,NA,NA,4.4,0.0464
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,CZ,Yes,CuO,Cu,50,NA,NA,NA,ZrO2,50,NA,NA,36,NA,533,30,3,3.17,0.5,NA,NA,4.9,0.0517
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,CZ,Yes,CuO,Cu,50,NA,NA,NA,ZrO2,50,NA,NA,36,NA,553,30,3,3.17,0.5,NA,NA,4.6,0.0486
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,1%LCZ,Yes,CuO,Cu,49.75,NA,NA,NA,ZrO2,49.75,La2O3,0.5,40,NA,493,30,3,3.17,0.5,5.5,60,3.3,0.0348
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,1%LCZ,Yes,CuO,Cu,49.75,NA,NA,NA,ZrO2,49.75,La2O3,0.5,40,NA,473,30,3,3.17,0.5,NA,NA,2.1,0.0222
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,1%LCZ,Yes,CuO,Cu,49.75,NA,NA,NA,ZrO2,49.75,La2O3,0.5,40,NA,513,30,3,3.17,0.5,NA,NA,4.7,0.0496
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,1%LCZ,Yes,CuO,Cu,49.75,NA,NA,NA,ZrO2,49.75,La2O3,0.5,40,NA,533,30,3,3.17,0.5,NA,NA,5.1,0.0538
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,1%LCZ,Yes,CuO,Cu,49.75,NA,NA,NA,ZrO2,49.75,La2O3,0.5,40,NA,553,30,3,3.17,0.5,NA,NA,4.7,0.0496
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,3%LCZ,Yes,CuO,Cu,49.25,NA,NA,NA,ZrO2,49.25,La2O3,1.5,52,NA,493,30,3,3.17,0.5,5.7,65,3.7,0.0391
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,7% LCZ,Yes,CuO,Cu,48.25,NA,NA,NA,ZrO2,48.25,La2O3,3.5,59,NA,493,30,3,3.17,0.5,5.8,72,4.1,0.0433
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,10%LCZ,Yes,CuO,Cu,47.5,NA,NA,NA,ZrO2,47.5,La2O3,5,58,NA,493,30,3,3.17,0.5,5.8,72,4.2,0.0441
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,10%LCZ,Yes,CuO,Cu,47.5,NA,NA,NA,ZrO2,47.5,La2O3,5,58,NA,473,30,3,3.17,0.5,NA,NA,2.7,0.0285
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,10%LCZ,Yes,CuO,Cu,47.5,NA,NA,NA,ZrO2,47.5,La2O3,5,58,NA,513,30,3,3.17,0.5,NA,NA,5.7,0.0602
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,10%LCZ,Yes,CuO,Cu,47.5,NA,NA,NA,ZrO2,47.5,La2O3,5,58,NA,533,30,3,3.17,0.5,NA,NA,5.9,0.0623
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,10%LCZ,Yes,CuO,Cu,47.5,NA,NA,NA,ZrO2,47.5,La2O3,5,58,NA,553,30,3,3.17,0.5,NA,NA,5.1,0.0538
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,5%LCZ,Yes,CuO,Cu,48.5,NA,NA,NA,ZrO2,48.75,La2O3,2.5,54,NA,493,30,3,3.17,0.5,6.2,66,4.3,0.0454
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,5%LCZ,Yes,CuO,Cu,48.5,NA,NA,NA,ZrO2,48.75,La2O3,2.5,54,NA,473,30,3,3.17,0.5,NA,NA,2.8,0.0296
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,5%LCZ,Yes,CuO,Cu,48.5,NA,NA,NA,ZrO2,48.75,La2O3,2.5,54,NA,513,30,3,3.17,0.5,NA,NA,5.9,0.0623
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,5%LCZ,Yes,CuO,Cu,48.5,NA,NA,NA,ZrO2,48.75,La2O3,2.5,54,NA,533,30,3,3.17,0.5,NA,NA,6.3,0.0665
Guo et al. (2011),https://doi.org/10.1016/j.molcata.2011.05.019,5%LCZ,Yes,CuO,Cu,48.5,NA,NA,NA,ZrO2,48.75,La2O3,2.5,54,NA,553,30,3,3.17,0.5,NA,NA,4.9,0.0517
J. Chen 2024,https://doi.org/10.1002/anie.202401168,In2O3,Yes,NA,NA,NA,NA,NA,NA,In2O3,100,NA,NA,119.6,12.40,523,30,3,8.64,0.2,3.3,62.4,2.1,0.0592
J. Chen 2024,https://doi.org/10.1002/anie.202401168,Ir1In2O3 CP,Yes,Ir,Ir,1.3,NA,NA,NA,In2O3,98.7,NA,NA,122.9,9.60,523,30,3,8.64,0.2,5.9,80.5,4.7,0.1367
J. Chen 2024,https://doi.org/10.1002/anie.202401168,Ir1In2O3 PD,Yes,Ir,Ir,1.3,NA,NA,NA,In2O3,98.7,NA,NA,115.4,12.40,523,30,3,8.64,0.2,6.4,78.4,5.0,0.1444
J. Chen 2024,https://doi.org/10.1002/anie.202401168,Pd1In2O3 CP,Yes,Pd,Pd,1.3,NA,NA,NA,In2O3,98.7,NA,NA,127.7,12.00,523,30,3,8.64,0.2,6.7,76.3,5.1,0.1471
J. Chen 2024,https://doi.org/10.1002/anie.202401168,Pd1In2O3 PD,Yes,Pd,Pd,1.3,NA,NA,NA,In2O3,98.7,NA,NA,115.3,12.40,523,30,3,8.64,0.2,7.8,67.2,5.2,0.1508
J. Chen 2024,https://doi.org/10.1002/anie.202401168,Ir1Pd1-In2O3(CP-CP),Yes,Ir,Ir,0.65,Pd,Pd,0.65,In2O3,98.7,NA,NA,NA,NA,523,30,3,8.64,0.2,6.5,72.3,4.7,0.1352
J. Chen 2024,https://doi.org/10.1002/anie.202401168,Ir1Pd1-In2O3(CP-PD),Yes,Ir,Ir,0.65,Pd,Pd,0.65,In2O3,98.7,NA,NA,118.6,9.60,523,30,3,8.64,0.2,10.6,97,10.3,0.2958
J. Chen 2024,https://doi.org/10.1002/anie.202401168,Ir1Pd1-In2O3(CP-AP),Yes,Ir,Ir,0.65,Pd,Pd,0.65,In2O3,98.7,NA,NA,NA,NA,523,30,3,8.64,0.2,7.9,79.8,6.3,0.1814
J. Chen 2024,https://doi.org/10.1002/anie.202401168,Ir1Pd1-In2O3(AP-AP),Yes,Ir,Ir,0.65,Pd,Pd,0.65,In2O3,98.7,NA,NA,119.8,12.40,523,30,3,8.64,0.2,7.6,75.9,5.8,0.1660
J. Chen 2024,https://doi.org/10.1002/anie.202401168,Ir1Pd1-In2O3(PD-PD),Yes,Ir,Ir,0.65,Pd,Pd,0.65,In2O3,98.7,NA,NA,NA,NA,523,30,3,8.64,0.2,8.5,88.1,7.5,0.2155
J. Chen 2024,https://doi.org/10.1002/anie.202401168,Ir1Pd1-In2O3(GM),Yes,Ir,Ir,0.65,Pd,Pd,0.65,In2O3,98.7,NA,NA,117.4,10.60,523,30,3,8.64,0.2,5.8,68.6,4.0,0.1145
J. Chen 2024,https://doi.org/10.1002/anie.202401168,Ir1Pd1-In2O3(PM),Yes,Ir,Ir,0.65,Pd,Pd,0.65,In2O3,98.7,NA,NA,116.4,10.20,523,30,3,8.64,0.2,6.5,73.4,4.8,0.1373
J. Chen 2024,https://doi.org/10.1002/anie.202401168,Pd1Ir1-In2O3(CP-PD),Yes,Ir,Ir,0.65,Pd,Pd,0.65,In2O3,98.7,NA,NA,NA,NA,523,30,3,8.64,0.2,6.3,78.3,4.9,0.1419
J. Chen 2024,https://doi.org/10.1002/anie.202401168,Pd1Pd1-In2O3(CP-PD),Yes,Pd,Pd,1.3,NA,NA,NA,In2O3,98.7,NA,NA,NA,NA,523,30,3,8.64,0.2,11,83.2,9.2,0.2633
J. Chen 2024,https://doi.org/10.1002/anie.202401168,Ir1Ir1-In2O3(CP-PD),Yes,Ir,Ir,1.3,NA,NA,NA,In2O3,98.7,NA,NA,NA,NA,523,30,3,8.64,0.2,5.4,95.7,5.2,0.1487
J. Chen 2024,https://doi.org/10.1002/anie.202401168,0.5Ir1Pd1-In2O3(CP-PD) ,Yes,Ir,Ir,0.35,Pd,Pd,0.35,In2O3,99.7,NA,NA,114.9,12.30,523,30,3,8.64,0.2,5,85.3,4.3,0.1227
